quadrat,project_year,year,month,species_code,count,notes
A1,1915,1915,6,PORTU,1,NA
A1,1915,1915,10,PORTU,5,NA
A1,1917,1917,6,DIWI2,1,NA
A1,1917,1917,6,HYFL,27,NA
A1,1917,1917,9,ARAD,23,NA
A1,1917,1917,9,HYFL,12,NA
A1,1917,1917,9,LIAU4,1,NA
A1,1917,1917,9,PAHI5,2,NA
A1,1917,1917,9,PORTU,73,NA
A1,1917,1917,9,TILA2,5,NA
A1,1918,1918,9,BOSP,3,NA
A1,1918,1918,9,PAHI5,1,NA
A1,1918,1918,9,TILA2,5,NA
A1,1919,1919,7,HECO5,2,NA
A1,1919,1919,7,HYFL,5,NA
A1,1919,1919,7,LIAU4,4,NA
A1,1920,1920,10,HYFL,2,NA
A1,1920,1920,10,LIAU4,4,NA
A1,1921,1921,10,BOSP,2,NA
A1,1921,1921,10,HYFL,1,NA
A1,1921,1921,10,PORTU,4,NA
A1,1921,1921,10,TILA2,1,NA
A1,1923,1923,10,BOSP,4,NA
A1,1923,1923,10,CRCR3,2,NA
A1,1923,1923,10,DIWI2,1,NA
A1,1923,1923,10,HYFL,12,NA
A1,1923,1923,10,PAHI5,5,NA
A1,1923,1923,10,PORTU,38,NA
A1,1923,1923,10,TILA2,2,NA
A1,1925,1925,10,ARAD,6,NA
A1,1925,1925,10,BOSP,1,NA
A1,1925,1925,10,DIWI2,3,NA
A1,1925,1925,10,PAHI5,1,NA
A1,1925,1925,10,PORTU,13,NA
A1,1926,1926,9,ARAD,12,NA
A1,1926,1926,9,DIWI2,3,NA
A1,1926,1926,9,HYFL,2,NA
A1,1926,1926,9,LIAU4,1,NA
A1,1926,1926,9,NAHI,2,NA
A1,1926,1926,9,PAHI5,2,NA
A1,1926,1926,9,PORTU,4,NA
A1,1927,1927,9,PORTU,14,NA
A1,1930,1930,8,LIAU4,1,NA
A1,1932,1932,9,LIAU4,1,NA
A1,1933,1933,10,HYFL,3,NA
A1,1933,1933,10,LIAU4,2,NA
A1,1934,1934,10,BAMU,16,NA
A1,1934,1934,10,DIWI2,2,NA
A1,1935,1935,5,HYFL,14,NA
A1,1935,1935,5,LIAU4,1,NA
A1,1935,1935,10,ARAD,2,NA
A1,1935,1935,10,DIWI2,2,NA
A1,1935,1935,10,HYFL,5,NA
A1,1935,1935,10,LIAU4,2,NA
A1,1935,1935,10,PAHI5,3,NA
A1,1935,1935,10,PORTU,11,NA
A1,1935,1935,10,TILA2,1,NA
A1,1936,1936,10,ARAD,27,NA
A1,1936,1936,10,BOSP,6,NA
A1,1936,1936,10,HYFL,7,NA
A1,1936,1936,10,PAHI5,4,NA
A1,1936,1936,10,PORTU,6,NA
A1,1937,1937,10,HYFL,2,NA
A1,1937,1937,10,PAHI5,3,NA
A1,1937,1937,10,PORTU,3,NA
A1,1938,1938,9,ARAD,4,NA
A1,1938,1938,9,BOSP,1,NA
A1,1938,1938,9,PAHI5,5,NA
A1,1938,1938,9,PORTU,5,NA
A1,1938,1938,9,TILA2,2,NA
A1,1939,1940,1,BAMU,4,NA
A1,1939,1940,1,LIAU4,4,NA
A1,1941,1942,1,BAMU,2,NA
A1,1941,1942,1,HYFL,1,NA
A1,1941,1942,1,LIAU4,1,NA
A1,1942,1942,10,BAMU,3,NA
A1,1942,1942,10,HYFL,1,NA
A1,1942,1942,10,LIAU4,2,NA
A1,1945,1945,9,LIAU4,3,NA
A1,1952,1952,9,GUSP,1,NA
A1,1952,1952,9,TILA2,2,NA
A1,1958,1958,9,SATR12,1,NA
A1,1961,1961,9,COAM8,2,NA
A1,1968,1968,8,COAM8,5,NA
A1,1969,1969,9,BOSP,2,NA
A1,1969,1969,9,PORTU,36,NA
A1,1969,1969,9,TILA2,15,NA
A1,2006,2006,11,ASAL6,1,NA
A1,2006,2006,11,CRYPT,18,NA
A1,2006,2006,11,DEPI,50,1
A1,2006,2006,11,DIWI2,4,NA
A1,2006,2006,11,PHIN,5,NA
A2,1915,1915,10,ERBE2,1,NA
A2,1917,1917,6,DIWI2,4,NA
A2,1917,1917,6,HYFL,5,NA
A2,1917,1917,9,ARAD,12,NA
A2,1917,1917,9,BAMU,1,NA
A2,1917,1917,9,BOSP,4,NA
A2,1917,1917,9,HYFL,3,NA
A2,1917,1917,9,PAHI5,2,NA
A2,1917,1917,9,PORTU,32,NA
A2,1917,1917,9,TILA2,11,NA
A2,1917,1917,9,TRTE,1,NA
A2,1918,1918,9,ARAD,7,NA
A2,1918,1918,9,BOSP,1,NA
A2,1918,1918,9,PAHI5,4,NA
A2,1918,1918,9,PORTU,4,NA
A2,1918,1918,9,TILA2,8,NA
A2,1919,1919,7,DIWI2,1,NA
A2,1919,1919,7,HYFL,7,NA
A2,1919,1919,7,LIAU4,1,NA
A2,1919,1919,7,NAHI,2,NA
A2,1919,1919,10,ARAD,9,NA
A2,1920,1920,10,HYFL,7,NA
A2,1920,1920,10,LIAU4,1,NA
A2,1920,1920,10,PAHI5,1,NA
A2,1921,1921,10,BOSP,1,NA
A2,1923,1923,10,BOSP,2,NA
A2,1923,1923,10,PAHI5,3,NA
A2,1923,1923,10,PORTU,4,NA
A2,1925,1925,10,ARAD,5,NA
A2,1925,1925,10,PORTU,6,NA
A2,1926,1926,9,ARAD,17,NA
A2,1926,1926,9,HYFL,1,NA
A2,1926,1926,9,NAHI,14,NA
A2,1926,1926,9,PAHI5,2,NA
A2,1927,1927,9,PORTU,9,NA
A2,1932,1932,9,HYFL,1,NA
A2,1932,1932,9,TILA2,2,NA
A2,1933,1933,10,LIAU4,3,NA
