species_code,genus,species,habit,form,common_name,category
ACNA2,Acourtia,nana,P,FORB,desert holly,PerennialForb
ACOUR,Acourtia,sp.,,FORB,Unknown,
ALCH,Allionia,choisyi,A,FORB,annual windmills,Annual
ALIN,Allionia,incarnata,P,FORB,trailing windmills,PerennialForb
AMAC2,Ambrosia,acanthicarpa,A,FORB,flatspine bur ragweed,Annual
AMAL,Amaranthus,albus,A,FORB,prostrate pigweed,Annual
AMARA,Amaranthus,sp.,,,Unknown,
AMCH3,Ammocodon,chenopodioides,P,FORB,goosefoot moonpod,PerennialForb
AMRE,Amaranthus,retroflexus,A,FORB,redroot amaranth,Annual
APRA,Aphanostephus,ramosissimus,A,FORB,plains dozedaisy,Annual
ARAD,Aristida,adscensionis,A,GRASS,sixweeks threeawn,Annual
ARIST,Aristida,sp.,,GRASS,Unknown,
ARPA9,Aristida,pansa,P,GRASS,Wooton's threeawn,Cover
ARPU9,Aristida,purpurea,P,GRASS,purple threeawn,Cover
ARPUL,Aristida,purpurea v. longiseta,P,GRASS,Fendler threeawn,Cover
ARTE3,Aristida,ternipes,P,GRASS,spidergrass,Cover
ARTEM,Artemisia,sp.,,,Unknown,
ASAL6,Astragalus,allochrous,ABP,FORB,halfmoon milkvetch,Annual
ASMOB,Astragalus,mollissimus v. bigelovii,P,FORB,woolly locoweed,PerennialForb
ASNU4,Astragalus,nuttallianus,A,FORB,smallflowered milkvetch,Annual
ASPA14,Astragalus,pattersonii,P,FORB,Patterson's milkvetch,PerennialForb
ASSU2,Asclepias,subverticillata,P,FORB,horsetail milkweed,PerennialForb
ASTE8,Astragalus,tephrodes,P,FORB,ashen milkvetch,PerennialForb
ASTRA,Astragalus,sp.,,,Unknown,
ATCA2,Atriplex,canescens,P,SHRUB,fourwing saltbush,Cover
BAAB,Bahia,absinthifolia,P,FORB,hairyseed bahia,PerennialForb
BABI3,Bahia,biternata,A,FORB,slimlobe bahia,Annual
BAMU,Baileya,multiradiata,AB,FORB,desert marigold,Annual
BELY,Berlandiera,lyrata,P,FORB,lyreleaf greeneyes,PerennialForb
BOAR,Bouteloua,aristidoides,A,GRASS,needle grama,Annual
