Family,Binomial,TBL cm,Weight gr,DL mm,Pupil,Dentition,Toxicity & Dangerousness,Reproduction,Common Name
Elapidae,Acanthophis antarcticus,103,1411,8.3,vertical slit,front-fanged,venomous bite – very dangerous,ovoviviparous,Common Death Adder
Elapidae,Acanthophis cryptamydros,64.5,,,vertical slit,front-fanged,venomous bite – very dangerous,,Kimberley death adder
Elapidae,Acanthophis hawkei,130,,,vertical slit,front-fanged,venomous bite – very dangerous,,Plains Death Adder
Elapidae,Acanthophis laevis,110,,,vertical slit,front-fanged,venomous bite – very dangerous,ovoviviparous,New Guinea death adder
Elapidae,Acanthophis praelongus,89,,,vertical slit,front-fanged,venomous bite – very dangerous,,Northern death adder
Elapidae,Acanthophis pyrrhus,75,148,,vertical slit,front-fanged,venomous bite – very dangerous,ovoviviparous,Desert Death Adder
Elapidae,Acanthophis rugosus,110,,,vertical slit,front-fanged,venomous bite – very dangerous,,Rough scaled Death Adder
Elapidae,Acanthophis wellsi,54,,,vertical slit,front-fanged,venomous bite – very dangerous,,Pilbara death adder
Xenodermidae,Achalinus ater,43,,,,rear-fanged,non-venomous,,Bourret's odd scaled snake
Xenodermidae,Achalinus dabieshanensis,,,,,,,,
Xenodermidae,Achalinus damingensis,,,,,,,,
Xenodermidae,Achalinus dehuaensis,,,,,,,,
Xenodermidae,Achalinus emilyae,,,,,,,,
Xenodermidae,Achalinus formosanus,100,,,roundish,rear-fanged,non-venomous,,Formosa odd scaled snake
Xenodermidae,Achalinus hainanus,31,,,roundish,rear-fanged,non-venomous,,Hainan odd scaled snake
Xenodermidae,Achalinus huangjietangi,,,,,,,,
Xenodermidae,Achalinus hunanensis,,,,,,,,
Xenodermidae,Achalinus jinggangensis,46,,,roundish,rear-fanged,non-venomous,,Zong's odd scaled snake
Xenodermidae,Achalinus juliani,,,,,,,,
Xenodermidae,Achalinus meiguensis,64,,,,rear-fanged,non-venomous,,Szechwan odd scaled snake
Xenodermidae,Achalinus nanshanensis,,,,,,,,
Xenodermidae,Achalinus niger,80,,,,rear-fanged,non-venomous,oviparous,black odd scaled snake
Xenodermidae,Achalinus ningshanensis,,,,roundish,,,,
Xenodermidae,Achalinus panzhihuaensis,,,,,,,,
Xenodermidae,Achalinus pingbianensis,,,,,,,,
Xenodermidae,Achalinus quangi,,,,roundish,,,,
Xenodermidae,Achalinus rufescens,40,,,,rear-fanged,non-venomous,,Rufous burrowing snake
Xenodermidae,Achalinus sheni,,,,roundish,,,,
Xenodermidae,Achalinus spinalis,60,,,roundish,rear-fanged,non-venomous,,Peters' odd scaled snake
Xenodermidae,Achalinus timi,,,,,,,,
Xenodermidae,Achalinus tranganensis,,,,,,,,
Xenodermidae,Achalinus vanhoensis,,,,,,,,
Xenodermidae,Achalinus werneri,,,,,rear-fanged,non-venomous,,amami takachiho snake
Xenodermidae,Achalinus yangdatongi,,,,,,,,
Xenodermidae,Achalinus yunkaiensis,,,,,,,,
Xenodermidae,Achalinus zugorum,,,,,,,,
Boidae,Acrantophis dumerili,200,,,vertical slit,non-fanged,,,Dumeril's ground boa
Boidae,Acrantophis madagascariensis,300,,,vertical slit,non-fanged,,,Madagascar ground boa
Acrochordidae,Acrochordus arafurae,250,,,roundish,non-fanged,non-venomous,live birth (unspecific),Arafura file snake
Acrochordidae,Acrochordus granulatus,122,,,roundish,non-fanged,non-venomous,live birth (unspecific),little file snake
Acrochordidae,Acrochordus javanicus,290,,,roundish,non-fanged,non-venomous,"ovoviviparous, viviparous",Elephant Trunk Snake
Typhlopidae,Acutotyphlops banaorum,,,,vestigial eyes,non-fanged,non-venomous,,Banao's blind snake
Typhlopidae,Acutotyphlops infralabialis,,,,vestigial eyes,non-fanged,non-venomous,,red blind snake
Typhlopidae,Acutotyphlops kunuaensis,,,,vestigial eyes,non-fanged,non-venomous,,Kunua blind snake
Typhlopidae,Acutotyphlops solomonis,,,,vestigial eyes,non-fanged,non-venomous,,Solomon Islands blind snake
Typhlopidae,Acutotyphlops subocularis,,,,vestigial eyes,non-fanged,non-venomous,,Bismarck sharp nosed blind snake
Colubridae,Adelphicos daryi,57,,,roundish,rear-fanged,unclear toxicity,,Dary's Burrowing Snake
Colubridae,Adelphicos ibarrorum,52,,,roundish,rear-fanged,unclear toxicity,,Quiché Burrowing Snake
Colubridae,Adelphicos latifasciatum,44,,,roundish,rear-fanged,unclear toxicity,,Oaxacan Burrowing Snake
Colubridae,Adelphicos newmanorum,,,,,rear-fanged,unclear toxicity,,Middle American Burrowing Snake
Colubridae,Adelphicos nigrilatum,45,,,roundish,rear-fanged,unclear toxicity,,Burrowing Snake
Colubridae,Adelphicos quadrivirgatum,40,,,roundish,rear-fanged,unclear toxicity,,Middle American Burrowing Snake
Colubridae,Adelphicos sargii,,,,,rear-fanged,unclear toxicity,oviparous,Sargi’s earth snake
Colubridae,Adelphicos veraepacis,46,,,roundish,rear-fanged,unclear toxicity,,Stuart's Burrowing Snake
Colubridae,Adelphicos visoninum,,,,,rear-fanged,unclear toxicity,,Middle American Burrowing Snake
Colubridae,Adelphostigma occipitalis,66,,,roundish,rear-fanged,unclear toxicity,,Bahia Leaf litter Snake
Colubridae,Adelphostigma quadriocellata,,,,,rear-fanged,unclear toxicity,,Four spotted Leaf litter Snake
Colubridae,Aeluroglena cucullata,60,,,vertical slit,rear-fanged,unclear toxicity,,Somali Snake
Colubridae,Afronatrix anoscopus,75,,,roundish,rear-fanged,unclear toxicity,oviparous,African Brown Water Snake
Typhlopidae,Afrotyphlops angolensis,,,,vestigial eyes,non-fanged,non-venomous,,Angola blind snake
Typhlopidae,Afrotyphlops anomalus,,,,vestigial eyes,non-fanged,non-venomous,,Angolan giant blind snake
Typhlopidae,Afrotyphlops bibronii,30,,,vestigial eyes,non-fanged,non-venomous,,Bibron's Blind Snake
Typhlopidae,Afrotyphlops blanfordii,,,,vestigial eyes,non-fanged,non-venomous,,Blanford’s blind snake
Typhlopidae,Afrotyphlops brevis,,,,vestigial eyes,non-fanged,non-venomous,,Somali giant blind snake
Typhlopidae,Afrotyphlops calabresii,,,,vestigial eyes,non-fanged,non-venomous,,Calabresi’s blind snake
Typhlopidae,Afrotyphlops chirioi,,,,vestigial eyes,,,,
Typhlopidae,Afrotyphlops congestus,,,,vestigial eyes,non-fanged,non-venomous,,Blotched blind snake
