ags,year,state,state_name,eligible_voters,number_voters,valid_votes,invalid_votes,turnout,cdu,csu,spd,gruene,fdp,linke_pds,afd,npd,rep,die_rechte,dvu,iii_weg,bf_b,ddd,dg,dns,drp,dsu,dkp,kpd,mlpd,sgp,spad,bsa,bwk,x50plus,ab_2000,ad_demokraten,adf,adm,agfg,apd,appd,aufbruch,b,bge,big,bp,buendnis_c,buendnis21,buergerbewegung,bueso,cbv,chance_2000,cm,deutschland,di_b,die_basis,die_humanisten,die_partei,dm,dp,dpd,du,eap,familie,forum,frauen,freie_waehler,fwd,gartenpartei,gb_bhe,gdp,gesundheitsforschung,graue,gvp,hp,liebe,liga,lkr,menschliche_welt,mg,muendige,naturgesetz,nichtwaehler,oedp,offensive_d,oko_union,partei_der_vernunft,pass,patrioten,pbc,pd_f,pdv,piraten,prg,pro_deutschland,pro_dm,rentner,rrp,schill,ssw,statt_partei,team_todenhoefer,tierschutz,tierschutzallianz,unabhaengige,usd,v_partei3,vaa,violetten,volksabstimmung,volt,zentrum,cdu_csu,far_right,far_left,far_left_w_linke
1001,1953,1,Schleswig-Holstein,67590,59883,58509,1374,0.885974257,0.337441344,0,0.120551743,,0.028772774,,,,,,,,,,,0.003055959,0.00910108,,,0.00781524,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.026317987,,,,,,,,,,0.123657799,,,,0.005610941,,,,,,,,,,,,,,,,,,,,,,,,,,0.314730391,,,,,,,,,,,,0,0.337441344,0.01215704,0.00781524,0.00781524
1002,1953,1,Schleswig-Holstein,178792,156399,153767,2632,0.874753904,0.525035326,0,0.331453526,,0.039955498,,,,,,,,,,,0.000473149,0.008452739,,,0.02077379,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.018510349,,,,,,,,,,0.031521941,,,,0.004085704,,,,,,,,,,,,,,,,,,,,,,,,,,0.002909226,,,,,,,,,,,,0,0.525035326,0.008925888,0.02077379,0.02077379
1003,1953,1,Schleswig-Holstein,161892,143372,139300,4072,0.885602748,0.461617331,0,0.297101247,,0.03958932,,,,,,,,,,,0.017813799,0.011062132,,,0.013803253,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.032377312,,,,,,,,,,0.091042881,,,,0.00557989,,,,,,,,,,,,,,,,,,,,,,,,,,0.001611193,,,,,,,,,,,,0,0.461617331,0.028875931,0.013803253,0.013803253
1004,1953,1,Schleswig-Holstein,49177,43919,42713,1206,0.893080098,0.500216307,0,0.324961862,,0.028256563,,,,,,,,,,,0.003597532,0.007217833,,,0.018055967,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.020924884,,,,,,,,,,0.065711879,,,,0.002572918,,,,,,,,,,,,,,,,,,,,,,,,,,0.001024613,,,,,,,,,,,,0,0.500216307,0.010815365,0.018055967,0.018055967
1005,1953,1,Schleswig-Holstein,47230,41127,40190,937,0.870781283,0.488486882,0,0.231915773,,0.027451553,,,,,,,,,,,0.000559243,0.005519488,,,0.009750286,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.026819364,,,,,,,,,,0.126802344,,,,0.001920879,,,,,,,,,,,,,,,,,,,,,,,,,,0.057991101,,,,,,,,,,,,0,0.488486882,0.006078732,0.009750286,0.009750286
1006,1953,1,Schleswig-Holstein,14304,12359,11988,371,0.864024049,0.382959786,0,0.174852334,,0.042398252,,,,,,,,,,,0.000728214,0.0050975,,,0.005987539,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.122744559,,,,,,,,,,0.096771583,,,,0.004288373,,,,,,,,,,,,,,,,,,,,,,,,,,0.134153249,,,,,,,,,,,,0,0.382959786,0.005825714,0.005987539,0.005987539
1007,1953,1,Schleswig-Holstein,64166,58088,56368,1720,0.905276938,0.446030161,0,0.254269384,,0.033604187,,,,,,,,,,,0.006541799,0.008263325,,,0.00795345,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.029403663,,,,,,,,,,0.178332874,,,,0.003219254,,,,,,,,,,,,,,,,,,,,,,,,,,0.002771657,,,,,,,,,,,,0,0.446030161,0.014805123,0.00795345,0.00795345
1008,1953,1,Schleswig-Holstein,42418,37636,36443,1193,0.88726484,0.467610798,0,0.145366139,,0.017748964,,,,,,,,,,,0.00175364,0.00953874,,,0.004437241,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.03834095,,,,,,,,,,0.155223722,,,,0.003985546,,,,,,,,,,,,,,,,,,,,,,,,,,0.124295887,,,,,,,,,,,,0,0.467610798,0.01129238,0.004437241,0.004437241
1009,1953,1,Schleswig-Holstein,94167,84163,81318,2845,0.893763208,0.456209974,0,0.259591507,,0.032555874,,,,,,,,,,,0.001057472,0.017454226,,,0.013545145,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.031985552,,,,,,,,,,0.149174816,,,,0.003766501,,,,,,,,,,,,,,,,,,,,,,,,,,0.000855483,,,,,,,,,,,,0,0.456209974,0.018511698,0.013545145,0.013545145
1010,1953,1,Schleswig-Holstein,43018,36613,35485,1128,0.851108838,0.454893071,0,0.198426788,,0.023652801,,,,,,,,,,,0.001201759,0.006172671,,,0.004779723,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.089066725,,,,,,,,,,0.104935405,,,,0.003905717,,,,,,,,,,,,,,,,,,,,,,,,,,0.082156611,,,,,,,,,,,,0,0.454893071,0.00737443,0.004779723,0.004779723
