company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodityall,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,information,source1,source2,source3,link1,link2,link3
Quebec Copper Corp. Ltd,,,,,,,,Quebec,45.263786,-72.331764,1866,1958,,,,,"Copper, Gold, Silver",Copper,Gold,Silver,,,,,,,0,1,0,,,
Noland Mines Ltd.,,,,,,Spruce Creek,Atlin,British Columbia,59.38272,-133.27033,1909,1950,1955,1989,,,Gold,Gold,,,,,,,,,0,1,1,https://www.mindat.org/feature-6088912.html,https://www.mindat.org/loc-257276.html,https://mrdata.usgs.gov/ardf/show-ardf.php?ardf_num=OP026
Falconbridge Nickel Mines Ltd. ,,,,,,Wesfrob (Tasu),Moresby Island ,British Columbia,52.75834,-132.05,1914,1983,,,,,"Iron, Copper",Iron,Copper,,,,,,,,0,1,1,https://www.mindat.org/loc-26169.html,,
Greenwood Coal Co. Ltd. ,,,,,,,,Nova Scotia,45.5502192,-62.56677981,1918,1966,,,,,Coal,Coal,,,,,,,,The currently entered coordinates are for the museum (see link attached),0,1,1,https://www.mindat.org/loc-290980.html,,
Noranda Mines Ltd,Normetal Mining Corporation Ltd.,Falconbridge Ltd.,Xstrata,,,Horne,Noranda ,Quebec,48.25427,-79.01128,1927,1976,,,,,"Copper, Gold, Silver, Selenium, Tellurium, Pyrite ",Copper,Gold,Silver,Selenium,Tellurium,Pyrite,,,"Alternative names: Horne Mine (1975) The mine is named after prospector Edmund Horne who first staked the property in 1920. The property was optioned in 1922 to a syndicate that discovered a major copper-gold deposit and grew to become Noranda Mines Limited, later Noranda Inc., one of the world's premier mining and metals companies. The deposit in Precambrian Keewatin-type volcanic rocks is a classic example of a volcanogenic massive sulfide (VMS) deposit. The Horne mine exploited two major ore bodies called the Upper H and the Lower H. The ore averaged 2.22% Cu, 6.1 g/t Au and 13 g/t Ag. The mine closed in 1976,having produced 53.7 million tons of ore and recovering 260t of gold (11.6 million ounces) and 1.13Mt of copper. The Horne copper smelter built on the mine site in 1927 is still in operation. Mineral rights are currently (2015) owned by Falco Resources Ltd which is examining the feasibility of mining the Horne 5 copper-gold deposit below the old Horne mine workings.",0,1,1,https://www.mindat.org/loc-609.html,,
Domtar Construction Materials Ltd.,"Gypsum, Lime, and Alabastine, Canada Ltd.",,,,,Amaranth,Amaranth (Gypsumville),Manitoba,50.57638889,-98.73333333,1930,1964,,,,,Gypsum,Gypsum,,,,,,,,,0,1,1,https://mrsearch.gov.mb.ca/dbtw-wpd/exec/dbtwpub.dll?AC=GET_RECORD&XC=/dbtw-wpd/exec/dbtwpub.dll&BU=https%3A%2F%2Fmrsearch.gov.mb.ca%2FItm-cat%2Fweb%2Fminsearch.html&GI=&TN=mineralinventorycard&SN=AUTO12810&SE=243&RN=0&MR=0&TR=0&TX=1000&ES=0&XP=&RF=Web%3A+Brief&EF=Basic+Record+Form&DF=Viewing+PrintingWeb&RL=1&EL=1&DL=1&NP=3&ID=&MF=&DT=&ST=0&IR=802&NR=0&NB=0&SV=0&SS=1&BG=&FG=&QS=minsearch,,
General Chemical Canada Ltd.,,,,,,,Amherstburg,Ontario,42.09538943,-83.08761897,1936,2001,,,,,Salt,Salt,,,,,,,,,0,1,1,http://wikimapia.org/17674812/former-General-Chemical,,
Dominion Magnesium Ltd. ,Chromasco Corporation Ltd.,Timminco Limited,,,,Haley,Haley ,Ontario,45.59888,-76.75171,1942,open,,,,,Magnesium,Magnesium,,,,,,,,,0,1,1,http://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI31F10SE00002.html,https://www.mindat.org/loc-14742.html,
Canadian Exploration Ltd.,,,,,,Jersey Emerald,Salmo ,British Columbia,49.09861,-117.22111,1944,1970,,,,,"Lead, Zinc, Silver, Cadmium, Tungsten, Molybdenum, Gold, Bismuth",Lead,Zinc,Silver,Cadmium,Tungsten,Molybdenum,Gold,,Bismuth,0,1,1,https://minfile.gov.bc.ca/summary.aspx?minfilno=082FSW009,,
Kidd Copper Mines Ltd.,Denison Copper Mines,,,,,"Gersdorffite, AER, and  Kidd Copper or  Howland Pit",Worthington ,Ontario,46.39465,-81.43186,1946,1958,1965,1968,1965,1968,Nickel,Nickel,,,,,,,,The mine was also in operation from 1928 to 1939.,0,1,1,http://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI41I06NW00047.html,,
