"Company","Ticker","Stock Price","Market Cap","Last Quarter Filed","Last Quarter Revenue","Annualized Revenue","YoY Growth%","Revenue Multiple","Shares Outstanding (estimate)","IPO Year","Year Founded","Founder(s)","Headquarters","Last Quarter EBITDA","Annualized EBITDA","YoY Change in EBITDA%","EBITDA Margin","Last Quarter Net Income","Annualized Net Income","YoY Change in Net Income%","Net Income Margin","Cash and Short Term Investments","YoY Change in Cash and Short Term Investments%","Lead Investor(s) Pre-IPO","Pre-IPO Venture Funding Estimate","Employee Count (estimate)","Annual Revenue per Employee (estimate)","Product Description","September 2024 Website Traffic (Estimate)","YoY Change in Website Traffic%","Company Website","Company Investor Relations Page","S-1 Filing","2023 10-K Filing"
"8×8","EGHT","$2.68","$350,000,000","Sep 2024","$181,000,000","$724,000,000","-2.16%","0.48","130,597,015","1996","1987","Chi-Shin Wang, Y.W. Sing","","$14,120,000","$56,480,000","215.09%","7.80%","-$14,540,000","-$58,160,000","-95.16%","-8.03%","$117,400,000","-21.09%","N/A","N/A","2000","$362,000","Communication solutions, including cloud-based voice, video, chat, and contact center services","","","http://www.8×8.com","http://8×8.gcs-web.com","","https://www.sec.gov/Archives/edgar/data/1023731/000102373124000042/eght-20240331.htm"
"Adobe","ADBE","$447.94","$197,183,000,000","Nov 2024","$5,610,000,000","$22,440,000,000","11.05%","8.79","440,199,580","1986","1982","John Warnock, Charles Geschke","San Jose, California, United States","$2,180,000,000","$8,720,000,000","10.69%","38.86%","$1,680,000,000","$6,720,000,000","13.49%","29.95%","$7,890,000,000","0.56%","Sequoia Capital","$2.5 million","29800","$753,000","Applications for graphic design, video editing, web development, and document management.","","","http://www.adobe.com","http://www.adobe.com/investor-relations","","https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm"
"Agilysys","AGYS","$138.93","$3,883,000,000","Sep 2024","$68,280,000","$273,120,000","16.49%","14.22","27,949,327","1983","1963","Arthur Rhein, William R. Loomis","Alpharetta, Georgia, United States","$8,340,000","$33,360,000","50.25%","12.21%","$1,360,000","$5,440,000","-69.99%","1.99%","$54,890,000","-48.90%","BlackRock, Vanguard Group","N/A","1690","$161,600","Hospitality management solutions, including point-of-sale, property management, and inventory management systems.","","","http://www.agilysys.com","http://www.agilysys.com/en/investor-relations/","","https://www.sec.gov/Archives/edgar/data/78749/000095017024063222/agys-20240331.htm"
"Akamai","AKAM","$96.91","$14,559,000,000","Sep 2024","$1,000,000,000","$4,000,000,000","4.06%","3.64","150,232,174","1999","1998","Tom Leighton, Daniel Lewin","Cambridge, Massachusetts, United States","$281,350,000","$1,125,400,000","-1.35%","28.14%","$57,910,000","$231,640,000","-63.93%","5.79%","$1,700,000,000","80.91%","Battery Ventures, Polaris Venture Partners","$8.3 million","9940","$402,400","Enterprise content delivery network (CDN) services, helping businesses deliver online content quickly and securely.","","","http://www.akamai.com","http://www.ir.akamai.com","","https://www.sec.gov/Archives/edgar/data/1086222/000108622224000040/akam-20231231.htm"
"Alight","ALIT","$6.84","$3,714,000,000","Sep 2024","$555,000,000","$2,220,000,000","-0.36%","1.67","542,982,456","2021","2019","Stephan Scholl","Chicago, Illinois, United States","$67,000,000","$268,000,000","4.69%","12.07%","-$74,000,000","-$296,000,000","-54.17%","-13.33%","$326,000,000","18.12%","Blackstone Group, Hellman & Friedman","$11.5 million","18300","$121,300","Platform for human resources, payroll, and financial operations.","","","http://www.alight.com","http://investor.alight.com","https://www.sec.gov/Archives/edgar/data/1809104/000110465920058905/tm2015214-3_s1.htm","https://www.sec.gov/Archives/edgar/data/1809104/000095017024022978/alit-20231231.htm"
"Alkami Technology","ALKT","$39.63","$3,983,000,000","Sep 2024","$85,910,000","$343,640,000","26.89%","11.59","100,504,668","2021","2009","Stephen Bohanon","Plano, Texas, United States","-$9,050,000","-$36,200,000","37.12%","-10.53%","-$9,440,000","-$37,760,000","38.99%","-10.99%","$100,990,000","-43.34%","General Atlantic, D1 Capital Partners","$225 million","870","$395,000","Digital banking platform that offers personalized banking experiences and advanced features for financial institutions.","","","http://www.alkami.com","http://investors.alkami.com","https://www.sec.gov/Archives/edgar/data/1529274/000119312521076443/d70489ds1.htm","https://www.sec.gov/Archives/edgar/data/1529274/000152927424000029/alk-20231231.htm"
"Amplitude","AMPL","$11.02","$1,362,000,000","Sep 2024","$75,220,000","$300,880,000","6.48%","4.53","123,593,466","2021","2012","Spenser Skates, Curtis Liu, Jeffrey Wang","San Francisco, California, United States","-$18,640,000","-$74,560,000","4.30%","-24.78%","-$16,850,000","-$67,400,000","5.03%","-22.40%","$319,940,000","-0.48%","Benchmark Capital, IVP (Institutional Venture Partners)","$186 million","720","$417,900","Platform for the measurement, storage, and analysis of user behavior in apps and on websites.","","","http://www.amplitude.com","http://investors.amplitude.com","https://www.sec.gov/Archives/edgar/data/1866692/000119312521260696/d143868ds1.htm","https://www.sec.gov/Archives/edgar/data/1866692/000095017024017102/ampl-20231231.htm"
"Ansys","ANSS","$342.84","$29,981,000,000","Sep 2024","$601,890,000","$2,407,560,000","31.19%","12.45","87,448,956","1996","1970","John Swanson","Canonsburg, Pennsylvania, United States","$197,330,000","$789,320,000","90.29%","32.79%","$128,190,000","$512,760,000","130.97%","21.30%","$1,300,000,000","102.54%","Battery Ventures, Commonwealth Capital Ventures","N/A","5750","$418,700","Engineering simulation solutions, for product design and testing virtually before physical prototypes are built.","","","http://www.ansys.com","http://investors.ansys.com","","https://www.sec.gov/Archives/edgar/data/1013462/000101346224000007/anss-20231231.htm"
"AppFolio","APPF","$252.67","$9,180,000,000","Sep 2024","$205,730,000","$822,920,000","24.36%","11.16","36,331,975","2015","2006","Brian Donahoo, Klaus Schauser, Jonathan Walker","Santa Barbara, California, United States","$43,680,000","$174,720,000","1638.16%","21.23%","$33,010,000","$132,040,000","24.81%","16.05%","$331,370,000","73.01%","N/A","$30 million","1830","$449,700","Property management solutions, including online rent payments, maintenance requests, and tenant screening.","","","http://www.appfolio.com","http://ir.appfolioinc.com","https://www.sec.gov/Archives/edgar/data/1433195/000119312515191809/d907976ds1.htm","https://www.sec.gov/Archives/edgar/data/1433195/000143319524000023/appf-20231231.htm"
"Appian","APPN","$34.51","$2,550,000,000","Sep 2024","$154,050,000","$616,200,000","12.37%","4.14","73,891,626","2017","1999","Matt Calkins, Michael Beckley, and Bob Kramer","McLean, Virginia, United States","-$4,600,000","-$18,400,000","64.31%","-2.99%","-$2,100,000","-$8,400,000","90.56%","-1.36%","$139,990,000","-17.40%","New Enterprise Associates (NEA), Novak Biddle Venture Partners, Kinetic Ventures","$196 million","2370","$260,000","Low-code development platform that enables businesses to build and deploy enterprise applications.","","","http://www.appian.com","http://investors.appian.com","https://www.sec.gov/Archives/edgar/data/1441683/000119312517143330/d363139ds1.htm","https://www.sec.gov/Archives/edgar/data/1441683/000144168324000016/appn-20231231.htm"
