Date,Abap,Ada,C/C++,C#,Cobol,Dart,Delphi/Pascal,Go,Groovy,Haskell,Java,JavaScript,Julia,Kotlin,Lua,Matlab,Objective-C,Perl,PHP,Powershell,Python,R,Ruby,Rust,Scala,Swift,TypeScript,VBA,Visual Basic
July 2004,0.34,0.36,10.01,4.68,0.42,0,2.8,0,0.03,0.22,30.16,8.59,0,0.24,0.16,2.1,0.19,7.33,18.62,0.16,2.51,0.39,0.33,0.24,0.17,0,0,1.43,8.5
August 2004,0.35,0.36,9.74,4.96,0.46,0,2.65,0,0.07,0.2,29.8,8.72,0,0.22,0.15,2.03,0.18,7.07,19.14,0.15,2.62,0.4,0.4,0.19,0.17,0,0,1.45,8.51
September 2004,0.41,0.41,9.59,5.04,0.51,0,2.64,0,0.08,0.21,29.59,8.67,0,0.15,0.19,2.1,0.19,7,19.42,0.08,2.71,0.4,0.41,0.17,0.13,0,0,1.54,8.38
October 2004,0.4,0.38,9.47,5.29,0.53,0,2.76,0,0.09,0.2,29.02,8.44,0,0.11,0.22,2.23,0.2,7.15,19.28,0.12,2.91,0.42,0.46,0.12,0.14,0,0,1.61,8.46
November 2004,0.38,0.38,9.48,5.22,0.55,0,2.75,0,0.07,0.24,29.48,8.48,0,0.08,0.23,2.2,0.22,7.03,19.36,0.12,2.83,0.41,0.44,0.17,0.15,0,0,1.5,8.21
December 2004,0.36,0.37,9.53,5.22,0.53,0,2.76,0,0.09,0.22,29.69,8.53,0,0.08,0.21,2.14,0.21,7.04,19.68,0.04,2.7,0.39,0.42,0.19,0.12,0,0,1.45,8.06
January 2005,0.39,0.38,9.69,5.23,0.56,0,2.65,0,0.11,0.21,29.64,8.36,0,0.04,0.24,2.21,0.19,6.99,19.79,0.04,2.91,0.39,0.47,0.15,0.09,0,0,1.5,7.78
February 2005,0.37,0.39,9.86,5.2,0.49,0,2.66,0,0.07,0.21,30.24,8.11,0,0.04,0.25,2.31,0.18,6.91,19.59,0.05,2.87,0.38,0.45,0.16,0.09,0,0.01,1.45,7.65
March 2005,0.34,0.37,9.87,5.37,0.45,0,2.65,0,0.08,0.23,30.15,8.26,0,0.04,0.23,2.35,0.15,6.86,19.51,0.05,2.8,0.42,0.46,0.13,0.11,0,0.01,1.44,7.66
April 2005,0.34,0.36,9.83,5.41,0.41,0,2.55,0,0.08,0.22,30.5,8.38,0,0.02,0.22,2.21,0.13,6.72,19.9,0.01,2.77,0.4,0.43,0.14,0.1,0,0.01,1.35,7.51
May 2005,0.35,0.37,9.7,5.61,0.4,0,2.49,0,0.09,0.23,30.19,8.24,0,0,0.23,2.23,0.13,6.74,19.84,0.05,2.87,0.41,0.47,0.11,0.09,0,0.05,1.46,7.65
June 2005,0.35,0.36,9.44,5.76,0.4,0,2.43,0,0.08,0.23,30.34,8.33,0,0,0.24,2.28,0.12,6.55,19.75,0.08,2.94,0.41,0.55,0.09,0.09,0,0.06,1.55,7.57
July 2005,0.33,0.34,9.28,6.16,0.39,0,2.5,0,0.08,0.24,30.29,8.4,0,0,0.21,2.27,0.13,6.46,19.45,0.08,2.97,0.44,0.62,0.11,0.1,0,0.08,1.58,7.51
August 2005,0.32,0.3,9.14,6.14,0.4,0,2.35,0,0.09,0.24,30.21,8.61,0,0,0.21,2.12,0.11,6.51,19.62,0.09,3.12,0.44,0.66,0.12,0.09,0,0.09,1.61,7.41
September 2005,0.36,0.29,9.04,6.17,0.4,0,2.32,0,0.08,0.22,30.15,8.35,0,0,0.26,2.05,0.13,6.58,19.82,0.09,3.27,0.45,0.79,0.17,0.05,0,0.11,1.6,7.26
October 2005,0.38,0.31,8.69,6.18,0.45,0,2.43,0,0.08,0.24,30.1,8.15,0,0,0.28,2.18,0.14,6.59,19.61,0.09,3.46,0.49,0.94,0.16,0.05,0,0.11,1.69,7.2
November 2005,0.38,0.28,8.48,6.31,0.45,0,2.46,0,0.07,0.25,30.2,8.22,0,0,0.3,2.27,0.13,6.54,19.56,0.06,3.63,0.51,1.09,0.17,0.02,0,0.07,1.64,6.91
December 2005,0.39,0.28,8.37,6.53,0.48,0,2.44,0,0.08,0.27,29.84,8.12,0,0,0.32,2.35,0.11,6.56,19.33,0.03,3.88,0.53,1.24,0.16,0.06,0,0.06,1.66,6.91
January 2006,0.4,0.29,8.51,6.27,0.45,0,2.39,0,0.09,0.27,29.72,8.1,0,0,0.35,2.32,0.11,6.33,19.67,0.08,3.96,0.51,1.37,0.15,0.11,0,0.1,1.6,6.88
February 2006,0.41,0.32,8.4,6.36,0.51,0,2.48,0,0.09,0.3,29.75,7.96,0,0.01,0.37,2.41,0.13,6.11,19.49,0.06,3.95,0.56,1.58,0.14,0.13,0,0.08,1.67,6.73
March 2006,0.37,0.28,8.35,6.47,0.48,0,2.39,0,0.1,0.3,30.04,8.02,0,0.02,0.34,2.54,0.11,5.9,19.5,0.06,3.93,0.53,1.68,0.09,0.13,0,0.06,1.64,6.65
April 2006,0.35,0.25,8.45,6.65,0.44,0,2.17,0,0.11,0.29,30.06,8.08,0,0.05,0.35,2.46,0.1,5.76,19.91,0.08,3.8,0.52,1.78,0.09,0.16,0,0.06,1.53,6.5
May 2006,0.34,0.24,8.52,6.62,0.44,0,2.06,0,0.11,0.28,30.13,8.26,0,0.06,0.35,2.28,0.1,5.52,20.28,0.09,3.7,0.52,1.9,0.07,0.15,0,0.06,1.51,6.45
June 2006,0.34,0.23,8.63,6.45,0.44,0,1.92,0,0.11,0.28,30.33,8.38,0,0.08,0.36,2.23,0.11,5.35,20.57,0.1,3.65,0.52,1.9,0.07,0.13,0,0.06,1.48,6.29
July 2006,0.35,0.22,8.46,6.64,0.46,0,1.91,0,0.09,0.29,30.35,8.41,0,0.08,0.4,2.31,0.13,5.4,20.45,0.1,3.57,0.56,1.92,0.08,0.12,0,0,1.48,6.23
August 2006,0.35,0.2,8.43,6.78,0.39,0,1.86,0,0.11,0.26,30.18,8.37,0,0.08,0.39,2.27,0.11,5.44,20.54,0.11,3.64,0.51,2.07,0.08,0.13,0,0,1.5,6.19
September 2006,0.34,0.21,8.28,6.91,0.41,0,1.95,0,0.09,0.27,29.97,8.35,0,0.07,0.44,2.13,0.13,5.5,20.45,0.13,3.79,0.53,2.2,0.09,0.16,0,0,1.58,6.04
October 2006,0.34,0.25,8.21,6.96,0.41,0,2.02,0,0.07,0.3,29.81,8.39,0,0.04,0.45,2.19,0.14,5.47,20.19,0.1,3.91,0.54,2.27,0.09,0.15,0,0,1.69,6.01
