id	product_id	product	tags	triplicate_1_sample_id	triplicate_2_sample_id	lot_no	manufacturing_date	expiration_date	collected_on	collected_at	collection_notes	blinded_name	blinded_photo	shipped_on	shipped_in	shipment_type	arrived_at_lab_on	analysis_method_phthalates	analysis_method_bisphenols	DEHP_equivalents_ng_g	DEHP_ng_g	DBP_ng_g	BBP_ng_g	DINP_ng_g	DIDP_ng_g	DEP_ng_g	DMP_ng_g	DIBP_ng_g	DNHP_ng_g	DCHP_ng_g	DNOP_ng_g	BPA_ng_g	BPS_ng_g	BPF_ng_g	DEHT_ng_g	DEHA_ng_g	DINCH_ng_g	DIDA_ng_g	DEHP_equivalents_percentile_ng_g	DEHP_percentile_ng_g	DBP_percentile_ng_g	BBP_percentile_ng_g	DINP_percentile_ng_g	DIDP_percentile_ng_g	DEP_percentile_ng_g	DMP_percentile_ng_g	DIBP_percentile_ng_g	DNHP_percentile_ng_g	DCHP_percentile_ng_g	DNOP_percentile_ng_g	BPA_percentile_ng_g	BPS_percentile_ng_g	BPF_percentile_ng_g	DEHT_percentile_ng_g	DEHA_percentile_ng_g	DINCH_percentile_ng_g	DIDA_percentile_ng_g	serving_size_g	DEHP_equivalents_ng_serving	DEHP_ng_serving	DBP_ng_serving	BBP_ng_serving	DINP_ng_serving	DIDP_ng_serving	DEP_ng_serving	DMP_ng_serving	DIBP_ng_serving	DNHP_ng_serving	DCHP_ng_serving	DNOP_ng_serving	BPA_ng_serving	BPS_ng_serving	BPF_ng_serving	DEHT_ng_serving	DEHA_ng_serving	DINCH_ng_serving	DIDA_ng_serving	DEHP_equivalents_percentile_ng_serving	DEHP_percentile_ng_serving	DBP_percentile_ng_serving	BBP_percentile_ng_serving	DINP_percentile_ng_serving	DIDP_percentile_ng_serving	DEP_percentile_ng_serving	DMP_percentile_ng_serving	DIBP_percentile_ng_serving	DNHP_percentile_ng_serving	DCHP_percentile_ng_serving	DNOP_percentile_ng_serving	BPA_percentile_ng_serving	BPS_percentile_ng_serving	BPF_percentile_ng_serving	DEHT_percentile_ng_serving	DEHA_percentile_ng_serving	DINCH_percentile_ng_serving	DIDA_percentile_ng_serving	DEHP_equivalents_percent_tdi_14_kg_epa	DEHP_percent_tdi_14_kg_epa	DBP_percent_tdi_14_kg_epa	BBP_percent_tdi_14_kg_epa	DINP_percent_tdi_14_kg_epa	DIDP_percent_tdi_14_kg_epa	DEP_percent_tdi_14_kg_epa	DMP_percent_tdi_14_kg_epa	DIBP_percent_tdi_14_kg_epa	DNHP_percent_tdi_14_kg_epa	DCHP_percent_tdi_14_kg_epa	DNOP_percent_tdi_14_kg_epa	BPA_percent_tdi_14_kg_epa	BPS_percent_tdi_14_kg_epa	BPF_percent_tdi_14_kg_epa	DEHT_percent_tdi_14_kg_epa	DEHA_percent_tdi_14_kg_epa	DINCH_percent_tdi_14_kg_epa	DIDA_percent_tdi_14_kg_epa	DEHP_equivalents_percent_tdi_70_kg_epa	DEHP_percent_tdi_70_kg_epa	DBP_percent_tdi_70_kg_epa	BBP_percent_tdi_70_kg_epa	DINP_percent_tdi_70_kg_epa	DIDP_percent_tdi_70_kg_epa	DEP_percent_tdi_70_kg_epa	DMP_percent_tdi_70_kg_epa	DIBP_percent_tdi_70_kg_epa	DNHP_percent_tdi_70_kg_epa	DCHP_percent_tdi_70_kg_epa	DNOP_percent_tdi_70_kg_epa	BPA_percent_tdi_70_kg_epa	BPS_percent_tdi_70_kg_epa	BPF_percent_tdi_70_kg_epa	DEHT_percent_tdi_70_kg_epa	DEHA_percent_tdi_70_kg_epa	DINCH_percent_tdi_70_kg_epa	DIDA_percent_tdi_70_kg_epa	DEHP_equivalents_percent_tdi_14_kg_efsa	DEHP_percent_tdi_14_kg_efsa	DBP_percent_tdi_14_kg_efsa	BBP_percent_tdi_14_kg_efsa	DINP_percent_tdi_14_kg_efsa	DIDP_percent_tdi_14_kg_efsa	DEP_percent_tdi_14_kg_efsa	DMP_percent_tdi_14_kg_efsa	DIBP_percent_tdi_14_kg_efsa	DNHP_percent_tdi_14_kg_efsa	DCHP_percent_tdi_14_kg_efsa	DNOP_percent_tdi_14_kg_efsa	BPA_percent_tdi_14_kg_efsa	BPS_percent_tdi_14_kg_efsa	BPF_percent_tdi_14_kg_efsa	DEHT_percent_tdi_14_kg_efsa	DEHA_percent_tdi_14_kg_efsa	DINCH_percent_tdi_14_kg_efsa	DIDA_percent_tdi_14_kg_efsa	DEHP_equivalents_percent_tdi_70_kg_efsa	DEHP_percent_tdi_70_kg_efsa	DBP_percent_tdi_70_kg_efsa	BBP_percent_tdi_70_kg_efsa	DINP_percent_tdi_70_kg_efsa	DIDP_percent_tdi_70_kg_efsa	DEP_percent_tdi_70_kg_efsa	DMP_percent_tdi_70_kg_efsa	DIBP_percent_tdi_70_kg_efsa	DNHP_percent_tdi_70_kg_efsa	DCHP_percent_tdi_70_kg_efsa	DNOP_percent_tdi_70_kg_efsa	BPA_percent_tdi_70_kg_efsa	BPS_percent_tdi_70_kg_efsa	BPF_percent_tdi_70_kg_efsa	DEHT_percent_tdi_70_kg_efsa	DEHA_percent_tdi_70_kg_efsa	DINCH_percent_tdi_70_kg_efsa	DIDA_percent_tdi_70_kg_efsa
7090411	79	Ito En Oi Ocha Unsweetened Green Tea	tea,beverages			4:49		2024-12-13	2024-07-09	Whole Foods Market, 1250 Jefferson Ave, Redwood City, CA 94072		Unsweetened green tea	07090411 .jpg	2024-07-10	Original packaging	UPS Overnight	2024-07-11	QuEChERS, Phthalates and Substitutes	QuEChERS, Bisphenols	<LOQ	<10	<10	<5	<1	<100	<10	<5	<10	<1	<10	<1	<1	<1	<1	<10	<10	<1	<100	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	370	<LOQ	<3700	<3700	<1850	<370	<37000	<3700	<1850	<3700	<370	<3700	<370	<370	<370	<370	<3700	<3700	<370	<37000	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	NO RfD	<LOQ	<LOQ	<LOQ	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	<LOQ	<LOQ	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	<LOQ	<LOQ	<LOQ	NO TDI	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	<LOQ	<LOQ	<LOQ	NO TDI
7091001	136	Whole Foods Non-Organic Broccoli	produce,groceries,organic,vegetables						2024-07-09	Whole Foods Market, 1250 Jefferson Ave, Redwood City, CA 94081		Broccoli	07091001.jpg	2024-07-10	Ziploc bag	UPS Overnight	2024-07-11	QuEChERS, Phthalates and Substitutes	QuEChERS, Bisphenols	17	17	<10	<5	<1	<100	42.3	9.1	<10	<1	<10	<1	<1	<1	<1	46	<10	<1	<100	17	31	<LOQ	<LOQ	<LOQ	<LOQ	75	50	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	19	<LOQ	<LOQ	<LOQ	88	1496	1496	<880	<440	<88	<8800	3722.4	800.8	<880	<88	<880	<88	<88	<88	<88	4048	<880	<88	<8800	19	29	<LOQ	<LOQ	<LOQ	<LOQ	76	61	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	22	<LOQ	<LOQ	<LOQ	NO RfD	0.5	<LOQ	<LOQ	NO RfD	NO RfD	0.03	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	0.1	<LOQ	<LOQ	NO RfD	NO RfD	0.007	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	0.2	0.2	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.03	<LOQ	<LOQ	NO TDI	0.04	0.04	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.006	<LOQ	<LOQ	NO TDI
7091002	8	Whole Foods Organic Broccoli	produce,groceries,organic,vegetables						2024-07-09	Whole Foods Market, 1250 Jefferson Ave, Redwood City, CA 94063		Broccoli	07091002.jpg	2024-07-10	Ziploc bag	UPS Overnight	2024-07-11	QuEChERS, Phthalates and Substitutes	QuEChERS, Bisphenols	14.9	14.9	<10	<5	<1	<100	17.9	13	<10	<1	<10	<1	<1	<1	<1	63.4	<10	<1	<100	11	21	<LOQ	<LOQ	<LOQ	<LOQ	32	60	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	35	<LOQ	<LOQ	<LOQ	88	1311.2	1311.2	<880	<440	<88	<8800	1575.2	1144	<880	<88	<880	<88	<88	<88	<88	5579.2	<880	<88	<8800	17	25	<LOQ	<LOQ	<LOQ	<LOQ	50	70	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	31	<LOQ	<LOQ	<LOQ	NO RfD	0.5	<LOQ	<LOQ	NO RfD	NO RfD	0.01	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	0.09	<LOQ	<LOQ	NO RfD	NO RfD	0.003	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	0.2	0.2	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.04	<LOQ	<LOQ	NO TDI	0.04	0.04	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.008	<LOQ	<LOQ	NO TDI
7091201	26	Clover Organic Whole Milk in Whole Gallon Jug	dairy,cow_milk,cow_milk_from_store,milk,organic,plastic,whole_milk			08:15 PT9 SL 06499		2024-07-23	2024-07-09	Safeway, 1071 El Camino Real, Redwood City, CA 94063		Pasteurized milk	07091201.jpg	2024-07-10	Original packaging	UPS Overnight	2024-07-11	QuEChERS, Phthalates and Substitutes	QuEChERS, Bisphenols	<LOQ	<10	<10	<5	<1	<100	<10	78	<10	<1	<10	<1	<1	<1	<1	77.6	<10	<1	<100	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	92	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	43	<LOQ	<LOQ	<LOQ	240	<LOQ	<2400	<2400	<1200	<240	<24000	<2400	18720	<2400	<240	<2400	<240	<240	<240	<240	18624	<2400	<240	<24000	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	97	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	65	<LOQ	<LOQ	<LOQ	NO RfD	<LOQ	<LOQ	<LOQ	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	<LOQ	<LOQ	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.1	<LOQ	<LOQ	NO TDI	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.03	<LOQ	<LOQ	NO TDI
7091202	27	Clover Organic Whole Milk in Half Gallon Carton	dairy,carton,cow_milk,cow_milk_from_store,milk,organic,whole_milk			72 06-499		2024-08-27	2024-07-09	Safeway, 1071 El Camino Real, Redwood City, CA 94063		Pasteurized milk	07091202.jpg	2024-07-10	Original packaging	UPS Overnight	2024-07-11	QuEChERS, Phthalates and Substitutes	QuEChERS, Bisphenols	<LOQ	<10	<10	<5	<1	<100	<10	60	<10	<1	<10	<1	<1	<1	<1	60.4	<10	<1	<100	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	86	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	31	<LOQ	<LOQ	<LOQ	240	<LOQ	<2400	<2400	<1200	<240	<24000	<2400	14400	<2400	<240	<2400	<240	<240	<240	<240	14496	<2400	<240	<24000	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	96	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	59	<LOQ	<LOQ	<LOQ	NO RfD	<LOQ	<LOQ	<LOQ	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	<LOQ	<LOQ	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.1	<LOQ	<LOQ	NO TDI	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.02	<LOQ	<LOQ	NO TDI
7091203	28	Straus Organic Whole Milk in Glass	dairy,cow_milk,cow_milk_from_store,glass,milk,organic,whole_milk			10:03:58		2024-07-19	2024-07-09	Safeway, 1071 El Camino Real, Redwood City, CA 94063		Pasteurized milk	07091203.jpg	2024-07-10	Original packaging	UPS Overnight	2024-07-11	QuEChERS, Phthalates and Substitutes	QuEChERS, Bisphenols	<LOQ	<10	<10	<5	<1	<100	<10	120	<10	<1	<10	<1	<1	<1	<1	120	<10	<1	<100	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	93	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	59	<LOQ	<LOQ	<LOQ	240	<LOQ	<2400	<2400	<1200	<240	<24000	<2400	28800	<2400	<240	<2400	<240	<240	<240	<240	28800	<2400	<240	<24000	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	99	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	74	<LOQ	<LOQ	<LOQ	NO RfD	<LOQ	<LOQ	<LOQ	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	<LOQ	<LOQ	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.2	<LOQ	<LOQ	NO TDI	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.04	<LOQ	<LOQ	NO TDI
7091301	51	Gerber Baby Food Banana in Glass	baby_food,baby,food,glass			4008515911 US00634		2025-07-31	2024-07-09	Safeway, 1071 El Camino Real, Redwood City, CA 94063		Fruit based baby food	07091301_07091302_07091303_07091304.jpg	2024-07-10	Original packaging	UPS Overnight	2024-07-11	QuEChERS, Phthalates and Substitutes	QuEChERS, Bisphenols	85.8	15.3	14.1	<5	<1	<100	13.8	<5	<10	<1	<10	<1	<1	<1	<1	82.6	<10	<1	<100	46	25	22	<LOQ	<LOQ	<LOQ	18	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	47	<LOQ	<LOQ	<LOQ	113	9695.4	1728.9	1593.3	<565	<113	<11300	1559.4	<565	<1130	<113	<1130	<113	<113	<113	<113	9333.8	<1130	<113	<11300	59	33	43	<LOQ	<LOQ	<LOQ	49	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	46	<LOQ	<LOQ	<LOQ	NO RfD	0.6	0.1	<LOQ	NO RfD	NO RfD	0.01	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	0.1	0.02	<LOQ	NO RfD	NO RfD	0.003	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	1.4	0.2	1.1	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.07	<LOQ	<LOQ	NO TDI	0.3	0.05	0.2	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.01	<LOQ	<LOQ	NO TDI
7091302	52	Gerber Baby Food Organic Carrot in Glass	baby_food,baby,food,glass,organic			4100515911 US00284		2025-10-31	2024-07-09	Safeway, 1071 El Camino Real, Redwood City, CA 94063		Veg based baby food	07091301_07091302_07091303_07091304.jpg	2024-07-10	Original packaging	UPS Overnight	2024-07-11	QuEChERS, Phthalates and Substitutes	QuEChERS, Bisphenols	68.4	13.4	11	<5	<1	<100	24	<5	<10	<1	<10	<1	<1	<1	<1	81.1	<10	<1	<100	40	15	5	<LOQ	<LOQ	<LOQ	61	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	46	<LOQ	<LOQ	<LOQ	113	7729.2	1514.2	1243	<565	<113	<11300	2712	<565	<1130	<113	<1130	<113	<113	<113	<113	9164.3	<1130	<113	<11300	54	29	35	<LOQ	<LOQ	<LOQ	64	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	45	<LOQ	<LOQ	<LOQ	NO RfD	0.5	0.09	<LOQ	NO RfD	NO RfD	0.02	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	0.1	0.02	<LOQ	NO RfD	NO RfD	0.005	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	1.1	0.2	0.9	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.07	<LOQ	<LOQ	NO TDI	0.2	0.04	0.2	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.01	<LOQ	<LOQ	NO TDI
7091303	53	Gerber Baby Food Carrot Puree in Plastic	baby_food,baby,food,plastic			40135157K US7600 13:35		2025-01-31	2024-07-09	Safeway, 1071 El Camino Real, Redwood City, CA 94063		Veg based baby food	07091301_07091302_07091303_07091304.jpg	2024-07-10	Original packaging	UPS Overnight	2024-07-11	QuEChERS, Phthalates and Substitutes	QuEChERS, Bisphenols	15.3	15.3	<10	<5	<1	<100	18.3	<5	<10	<1	<10	<1	<1	<1	<1	62.6	<10	<1	<100	13	25	<LOQ	<LOQ	<LOQ	<LOQ	33	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	33	<LOQ	<LOQ	<LOQ	113	1728.9	1728.9	<1130	<565	<113	<11300	2067.9	<565	<1130	<113	<1130	<113	<113	<113	<113	7073.8	<1130	<113	<11300	22	33	<LOQ	<LOQ	<LOQ	<LOQ	57	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	36	<LOQ	<LOQ	<LOQ	NO RfD	0.6	<LOQ	<LOQ	NO RfD	NO RfD	0.02	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	0.1	<LOQ	<LOQ	NO RfD	NO RfD	0.004	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	0.2	0.2	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.05	<LOQ	<LOQ	NO TDI	0.05	0.05	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.01	<LOQ	<LOQ	NO TDI
7091304	54	Happy Baby Baby Food Organic Carrot in Glass	baby_food,baby,food,glass,organic			101410947 152629/24956.02/15:01		2025-08-28	2024-07-09	Whole Foods Market, 1250 Jefferson Ave, Redwood City, CA 94067		Veg based baby food	07091301_07091302_07091303_07091304.jpg	2024-07-10	Original packaging	UPS Overnight	2024-07-11	QuEChERS, Phthalates and Substitutes	QuEChERS, Bisphenols	21.2	21.2	<10	<5	<1	<100	<10	<5	<10	<1	<10	<1	<1	<1	<1	45.3	<10	<1	<100	23	42	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	18	<LOQ	<LOQ	<LOQ	113	2395.6	2395.6	<1130	<565	<113	<11300	<1130	<565	<1130	<113	<1130	<113	<113	<113	<113	5118.9	<1130	<113	<11300	30	44	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	<LOQ	28	<LOQ	<LOQ	<LOQ	NO RfD	0.9	<LOQ	<LOQ	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	0.2	<LOQ	<LOQ	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	NO RfD	<LOQ	NO RfD	NO RfD	0.3	0.3	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.04	<LOQ	<LOQ	NO TDI	0.07	0.07	<LOQ	<LOQ	<LOQ	<LOQ	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	NO TDI	<LOQ	NO TDI	NO TDI	0.007	<LOQ	<LOQ	NO TDI
