film,category,worldwide gross,% budget recovered,critics % score,audience % score,audience vs critics % deviance,budget,domestic gross ($m),international gross ($m),opening weekend ($m),second weekend ($m),1st vs 2nd weekend drop off,% gross from opening weekend,% budget opening weekend,year,source
Ant-Man,Ant-Man,518,398%,83%,85%,-2%,130,180,338,57,24,-58%,31.8,43.8%,2015,https://www.the-numbers.com/movie/Ant-Man#tab=summary
Ant-Man & The Wasp,Ant-Man,623,479%,87%,80%,7%,130,216,406,75.8,29,-62%,35,58.3%,2018,https://www.the-numbers.com/movie/Ant-Man-and-the-Wasp#tab=summary
Ant-Man: Quantumania,Ant-Man,464,232%,49%,84%,-35%,200,214,250,106,31,-71%,23,53.0%,2023,https://www.the-numbers.com/movie/Ant-Man-and-the-Wasp-Quantumania-(2023)#tab=summary
Avengers: Age of Ultron,Avengers,1395,382%,76%,82%,-6%,365,459,936,191,77,-60%,41.7,52.3%,2015,https://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary
Avengers: End Game,Avengers,2797,699%,94%,90%,4%,400,858,1939,357,147,-59%,41.6,89.3%,2019,https://www.the-numbers.com/movie/Avengers-Endgame-(2019)#tab=summary
Avengers: Infinity War,Avengers,2048,683%,85%,91%,-6%,300,678,1369,257,114,-56%,38,85.7%,2018,https://www.the-numbers.com/movie/Avengers-Infinity-War#tab=summary
Black Panther,Black Panther,1336,668%,96%,79%,17%,200,700,636,202,111,-45%,28.9,101.0%,2018,https://www.the-numbers.com/movie/Black-Panther#tab=summary
Black Panther 2,Black Panther,855,342%,84%,94%,-10%,250,453,401,181,66,-64%,48.6,72.4%,2022,https://www.the-numbers.com/movie/Black-Panther-Wakanda-Forever-(2022)#tab=box-office
Black Widow,Unique,379,190%,79%,80%,-1%,200,183,196,80.3,25.8,-68%,43.8,40.2%,2021,https://www.the-numbers.com/movie/Black-Widow-(2021)#tab=summary
Captain America,Captain America,370,264%,79%,75%,4%,140,176,193,65,25,-62%,36.8,46.4%,2011,https://www.the-numbers.com/movie/Captain-America-The-First-Avenger#tab=summary
Captain America: Brave New World,Captain America,372,207%,48%,79%,-31%,180,180,193,88,28,-68%,24,48.9%,2025,https://www.the-numbers.com/movie/Captain-America-Brave-New-World-(2025)#tab=box-office
Captain America: Civil War,Captain America,1151,460%,90%,89%,1%,250,408,743,179,72.6,-59%,43.9,71.6%,2016,https://www.the-numbers.com/movie/Captain-America-Civil-War#tab=summary
Captain America: Winter Soldier,Captain America,714,420%,90%,92%,-2%,170,259,454,95,41,-57%,36.6,55.9%,2014,https://www.the-numbers.com/movie/Captain-America-The-Winter-Soldier#tab=summary
Captain Marvel,Unique,1129,645%,79%,45%,34%,175,426,702,153,67.9,-56%,35.9,87.4%,2019,https://www.the-numbers.com/movie/Captain-Marvel-(2019)#tab=summary
Deadpool & Wolverine,Unique,1338,669%,78%,94%,-16%,200,636,701,211,96,-55%,16,105.5%,2024,https://www.the-numbers.com/movie/Deadpool-and-Wolverine-(2024)#tab=box-office
Dr Strange,Dr Strange,676,410%,89%,86%,3%,165,232,443,85,42.9,-50%,36.6,51.5%,2016,https://www.the-numbers.com/movie/Doctor-Strange-(2016)#tab=summary
Dr Strange: Multiverse of Madness,Dr Strange,952,476%,74%,77%,-3%,200,411,540,187,61.7,-67%,45.6,93.5%,2022,https://www.the-numbers.com/movie/Doctor-Strange-in-the-Multiverse-of-Madness-(2022)#tab=summary
Eternals,Unique,402,201%,47%,73%,-26%,200,164,237,71,26.8,-62%,43.2,35.5%,2021,https://www.the-numbers.com/movie/Eternals-(2021)#tab=summary
Guardians of the Galaxy,Guardians,770,453%,92%,92%,0%,170,333,437,94,42.1,-55%,43.3,55.3%,2014,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy#tab=summary
Guardians of the Galaxy 2,Guardians,869,435%,85%,87%,-2%,200,389,479,146,65,-55%,37.6,73.0%,2017,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary
Guardians of the Galaxy 3,Guardians,837,335%,82%,95%,-13%,250,358,478,118,60,-49%,14,47.2%,2023,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-3-(2023)#tab=box-office
Incredible Hulk,Unique,265,193%,67%,69%,-2%,137.5,134,130,55,22.1,-60%,41.1,40.0%,2008,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary
Iron Man,Iron Man,585,315%,94%,91%,3%,186,318,266,102,51.2,-50%,32.1,54.8%,2008,https://www.the-numbers.com/movie/Iron-Man#tab=summary
Iron Man 2,Iron Man,621,365%,71%,71%,0%,170,312,308,128,52,-59%,41,75.3%,2010,https://www.the-numbers.com/movie/Iron-Man-2#tab=summary
Iron Man 3,Iron Man,1215,608%,79%,78%,1%,200,408,806,174,72.5,-58%,42.6,87.0%,2013,https://www.the-numbers.com/movie/Iron-Man-3#tab=summary
Shang-Chi,Unique,432,288%,91%,93%,-2%,150,224,207,75,34.7,-54%,33.6,50.0%,2021,https://www.the-numbers.com/movie/Shang-Chi-and-the-Legend-of-the-Ten-Rings-(2021)#tab=summary
Spider-Man: Far from Home,Spider-Man,1132,708%,90%,93%,-3%,160,390,741,93,45.3,-51%,23.7,58.1%,2019,https://www.the-numbers.com/movie/Spider-Man-Far-From-Home-(2019)#tab=summary
Spider-Man: Homecoming,Spider-Man,878,502%,92%,87%,5%,175,334,544,117,44,-62%,35,66.9%,2017,https://www.the-numbers.com/movie/Spider-Man-Homecoming#tab=summary
Spider-Man: No Way Home,Spider-Man,1911,956%,93%,96%,-3%,200,814,1097,260,84,-68%,32,130.0%,2021,https://www.the-numbers.com/movie/Spider-Man-No-Way-Home-(2021)#tab=summary
The Avengers,Avengers,1515,673%,91%,91%,0%,225,623,891,207,103,-50%,33.3,92.0%,2012,https://www.the-numbers.com/movie/Avengers-The-(2012)#tab=summary
The Marvels,Unique,199,73%,62%,85%,-23%,274,84,115,46,10,-78%,23,16.8%,2023,https://www.the-numbers.com/movie/Marvels-The-(2023)#tab=summary
Thor,Thor,449,299%,77%,76%,1%,150,181,268,65,34,-48%,36.3,43.3%,2011,https://www.the-numbers.com/movie/Thor#tab=summary
Thor: Dark World,Thor,644,429%,66%,75%,-9%,150,206,438,85,36.5,-57%,41.5,56.7%,2013,https://www.the-numbers.com/movie/Thor-The-Dark-World#tab=box-office
Thor: Love & Thunder,Thor,745,298%,64%,63%,1%,250,343,403,144,46.6,-68%,42,57.6%,2022,https://www.the-numbers.com/movie/Thor-Love-and-Thunder-(2022)#tab=summary
Thor: Ragnarok,Thor,850,472%,93%,87%,6%,180,315,535,122,57,-53%,39,67.8%,2017,https://www.the-numbers.com/movie/Thor-Ragnarok#tab=summary
