OBJECTID,workclass,permitclass,proposedworkdescription,permitclassmapped,applieddate,issueddate,estprojectcost,constcompletedofficial,censuslanduse,censuslandusecode,contractorcompanyname,contractorcity,countylocation,description,expiresdate,fee,housingunitstotal,issueddate_mth,issueddate_yr,jurisdiction_inout_ral,latitude_perm,longitude_perm,originalzip,proposeduse,recordupdatedate,statuscurrent,statuscurrentmapped,workclassmapped,CreationDate,EditDate,permitnum
208883,Alteration/Repairs ,,Install Beams in the crawlspace to stabilize wall,Residential,2020/10/26 14:03:03.420+00,2024/10/23 16:44:55.167+00,0,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,Cornerstone Foundation Repair,,Wake,Install Beams in the crawlspace to stabilize wall,2025/04/21 00:00:00+00,132,1,10,2024,Inside City Limits,35.72908393,-78.54932892,27613, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/10/23 16:44:55.167+00,Issued,Permit Issued,Existing,2020/10/30 22:09:11.289+00,2024/10/26 11:07:27.112+00,BLDR-044400-2020
252441,Addition,325,"This project consists of construction of a new Power Generation Facility and Fuel Storage Facility, ",Non-Residential,2022/01/28 10:07:40+00,2024/10/07 15:18:11.433+00,753226.5,No,"	 PUBLIC WORKS & UTILITIES BUILDINGS",325,English Construction Company,,Wake,"This project consists of construction of a new Power Generation Facility and Fuel Storage Facility, ",2025/04/05 00:00:00+00,1089,0,10,2024,Inside City Limits,35.71805893,-78.54722292,27614,"	 PUBLIC WORKS & UTILITIES BUILDINGS",2024/10/07 15:18:11.433+00,Issued,Permit Issued,New,2022/02/23 23:00:59.040+00,2024/10/10 11:07:26.513+00,BLDNR-005138-2022
253719,New Residential Dwelling,101,New Single Family Home,Residential,2024/07/01 15:53:54+00,2024/12/12 14:22:08.527+00,279728.64,No, DETACHED SINGLE FAMILY DWELLING,101,GITTO ENTERPRISES,,,New Single Family Home,2026/01/14 09:54:28+00,2050,1,12,2024,Inside City Limits,35.73856093,-78.68658338,27603, DETACHED SINGLE FAMILY DWELLING,2025/01/16 10:51:59.223+00,Issued,Permit Issued,Existing,2022/04/13 22:01:00.774+00,2025/01/19 11:06:06.756+00,BLDR-019236-2022
255023,New Single Family Dwelling,101,New single story SFD with finished basement and no a garage.,Residential,2024/07/01 14:28:30+00,2024/12/11 15:33:32.897+00,510894.96,No, DETACHED SINGLE FAMILY DWELLING,101,John C. Sanders & Company,Raleigh,,New single story SFD with finished basement and no a garage.,2025/06/09 00:00:00+00,7217,1,12,2024,Inside City Limits,35.83991891,-78.70459687,27612, DETACHED SINGLE FAMILY DWELLING,2024/12/12 02:01:43.100+00,Issued,Permit Issued,New,2022/06/09 22:00:57.252+00,2024/12/14 11:06:17.737+00,BLDR-030148-2022
255212,New Building ,324,"4-STORY SHELL MEDICAL OFFICE BUILDING * 2 CASES * 
BLDNR-031712-2022 SHELL BLDG (MAIN CASE) 
BLDNR-0",Non-Residential,2023/01/19 11:43:28+00,2024/12/23 14:49:48.590+00,22655722.24,No,"	 OFFICE, BANK, AND PROFESSIONAL BUILDING",324,"Shelco, LLC",Raleigh,Wake,"4-STORY SHELL MEDICAL OFFICE BUILDING * 2 CASES * 
BLDNR-031712-2022 SHELL BLDG (MAIN CASE) 
BLDNR-0",2025/06/21 00:00:00+00,350065,0,12,2024,Inside City Limits,35.81970492,-78.71211187,27607,"	 OFFICE, BANK, AND PROFESSIONAL BUILDING",2024/12/31 15:13:34.020+00,Issued,Permit Issued,Existing,2022/06/17 22:00:54.170+00,2025/01/03 11:06:48.198+00,BLDNR-031712-2022
256780,New Building ,318,HSIPOP-087473-2022 MAIN CASE# BLDNR-047272-2022  A-2 OCC  3651SF; BLDNR-047278-2022 FEMALE BATHROOM ,Non-Residential,2024/07/01 14:30:12+00,2024/08/19 17:50:13.057+00,530745.6,No, AMUSEMENT & RECREATIONAL BUILDING,318,CONTR - CHOATE CONSTRUCTION CO.,Raleigh,Wake,HSIPOP-087473-2022 MAIN CASE# BLDNR-047272-2022  A-2 OCC  3651SF; BLDNR-047278-2022 FEMALE BATHROOM ,2026/01/12 13:58:27+00,1888,0,8,2024,Inside City Limits,35.80874291,-78.63294339,27608, AMUSEMENT & RECREATIONAL BUILDING,2025/01/10 13:58:47.053+00,Issued,Permit Issued,Existing,2022/09/21 22:01:32.638+00,2025/01/13 14:05:28.729+00,BLDNR-047272-2022
256834,New Building ,328,HSIPOP-087473-2022 MAIN CASE# BLDNR-047272-2022  A-2 OCC  3590SF; BLDNR-047278-2022 FEMALE BATHROOM ,Non-Residential,2024/07/01 14:30:12+00,2024/08/12 19:23:48.277+00,18993.75,No,"	 SHEDS, BOATHOUSES, ACCESSORY BUILDINGS",328,CONTR - CHOATE CONSTRUCTION CO.,Raleigh,Wake,HSIPOP-087473-2022 MAIN CASE# BLDNR-047272-2022  A-2 OCC  3590SF; BLDNR-047278-2022 FEMALE BATHROOM ,2025/12/18 13:35:39+00,490,1,8,2024,Inside City Limits,35.80874291,-78.63294339,27608,"	 SHEDS, BOATHOUSES, ACCESSORY BUILDINGS",2024/12/19 08:45:38.097+00,Issued,Permit Issued,Existing,2022/09/21 22:01:32.638+00,2024/12/22 11:06:50.841+00,BLDNR-047278-2022
256928,New Building ,328,HSIPOP-087473-2022 MAIN CASE# BLDNR-047272-2022  A-2 OCC  3590SF; BLDNR-047278-2022 FEMALE BATHROOM ,Non-Residential,2022/09/15 14:30:12+00,2024/08/12 19:12:07.890+00,18993.75,No,"	 SHEDS, BOATHOUSES, ACCESSORY BUILDINGS",328,CONTR - CHOATE CONSTRUCTION CO.,Raleigh,Wake,HSIPOP-087473-2022 MAIN CASE# BLDNR-047272-2022  A-2 OCC  3590SF; BLDNR-047278-2022 FEMALE BATHROOM ,2025/12/18 13:35:07+00,462,0,8,2024,Inside City Limits,35.80930991,-78.63244839,27608,"	 SHEDS, BOATHOUSES, ACCESSORY BUILDINGS",2024/12/19 08:44:45.750+00,Issued,Permit Issued,Existing,2022/09/22 17:59:14.629+00,2024/12/22 11:06:50.841+00,BLDNR-047279-2022
257338,Townhouse,102,"New townhome, northern block, units 101-105 SPR-0090-2022 5-B CONST R-3 OCC 3 STORY
BLDR-051189-2022",Residential,2022/10/07 17:09:24.103+00,2024/08/15 20:26:51.090+00,450379.28,No,"	 RESIDENTIAL TOWNHOUSE",102,"Concept 8, LLC",Apex,,"New townhome, northern block, units 101-105 SPR-0090-2022 5-B CONST R-3 OCC 3 STORY
BLDR-051189-2022",2025/12/16 15:40:01+00,4844,1,8,2024,Inside City Limits,35.77390392,-78.63335289,27601,"	 RESIDENTIAL TOWNHOUSE",2024/12/16 15:42:06.253+00,Issued,Permit Issued,New,2022/10/25 22:02:00.074+00,2024/12/19 11:06:33.175+00,BLDR-051189-2022
257896,Townhouse,102,"New townhome, northern block, units 101-105 SPR-0090-2022 5-B CONST R-3 OCC 3 STORY
BLDR-051189-2022",Residential,2022/10/07 17:09:24.103+00,2024/08/15 20:26:36.023+00,450379.28,No,"	 RESIDENTIAL TOWNHOUSE",102,"Concept 8, LLC",Apex,Wake,"New townhome, northern block, units 101-105 SPR-0090-2022 5-B CONST R-3 OCC 3 STORY
BLDR-051189-2022",2025/12/16 15:44:11+00,4844,1,8,2024,Inside City Limits,35.77368792,-78.63335739,27601,"	 RESIDENTIAL TOWNHOUSE",2024/12/16 15:44:24.277+00,Issued,Permit Issued,New,2022/11/23 23:01:16.604+00,2024/12/19 11:06:33.175+00,BLDR-055833-2022
