ISO3,Country Name,Region,SIDS,LDCs,# RP,# FA,RP Financing $,FA Financing $
AFG,Afghanistan,Asia-Pacific,FALSE,TRUE,3,1,1599987,17198843
ALB,Albania,Eastern Europe,FALSE,FALSE,6,5,5440619,51174280.92
DZA,Algeria,Africa,FALSE,FALSE,2,0,3152062,
AND,Andorra,Western Europe and Others,FALSE,FALSE,0,0,,
AGO,Angola,Africa,FALSE,TRUE,4,1,2572547,9616032
ATG,Antigua and Barbuda,Latin America and the Caribbean,TRUE,FALSE,9,2,8347448.43,39373195
ARG,Argentina,Latin America and the Caribbean,FALSE,FALSE,11,5,6198092,224786884.9
ARM,Armenia,Eastern Europe,FALSE,FALSE,7,7,5206305.39,156822644.8
AZE,Azerbaijan,Eastern Europe,FALSE,FALSE,4,2,3841560,46493937.3
BHS,Bahamas,Latin America and the Caribbean,TRUE,FALSE,10,5,5599696.35,44266339.28
BHR,Bahrain,Asia-Pacific,TRUE,FALSE,0,1,,2320388
BGD,Bangladesh,Asia-Pacific,FALSE,TRUE,8,9,6120068.78,441165030
BRB,Barbados,Latin America and the Caribbean,TRUE,FALSE,4,8,1516737,236984296.5
BLZ,Belize,Latin America and the Caribbean,TRUE,FALSE,23,4,9043326.6,47707835.32
BEN,Benin,Africa,FALSE,TRUE,11,11,4838662.39,87040003.76
BTN,Bhutan,Asia-Pacific,FALSE,FALSE,7,3,6362286,61904548
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,FALSE,FALSE,8,1,2627919.74,33300000
BIH,Bosnia and Herzegovina,Eastern Europe,FALSE,FALSE,3,2,3703756,31746000
BWA,Botswana,Africa,FALSE,FALSE,6,3,2280546,81049894
BRA,Brazil,Latin America and the Caribbean,FALSE,FALSE,12,13,5164666.81,443362589.8
BRN,Brunei Darussalam,Asia-Pacific,FALSE,FALSE,0,0,,
BFA,Burkina Faso,Africa,FALSE,TRUE,9,13,5303415,143549278.7
BDI,Burundi,Africa,FALSE,TRUE,6,4,4497061,44157657.98
CPV,Cabo Verde,Africa,TRUE,FALSE,4,0,1996311,
KHM,Cambodia,Asia-Pacific,FALSE,TRUE,14,8,5633291.76,240097216
CMR,Cameroon,Africa,FALSE,FALSE,5,8,3768098,60250297.67
CAF,Central African Republic (the),Africa,FALSE,TRUE,6,1,1771129,39998000
TCD,Chad,Africa,FALSE,TRUE,10,6,3587979,78115422.75
CHL,Chile,Latin America and the Caribbean,FALSE,FALSE,13,7,7261503.86,175518677
CHN,China,Asia-Pacific,FALSE,FALSE,0,1,,100000000
COL,Colombia,Latin America and the Caribbean,FALSE,FALSE,18,13,7128093.27,314728044.1
