Vegetable,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
Acorn squash,Fresh,1.2136,per pound,0.4586,0.4519,pounds,1.1961
Artichoke,Fresh,2.4703,per pound,0.375,0.3858,pounds,2.5415
Artichoke,Canned,3.4498,per pound,0.65,0.3858,pounds,2.0476
Asparagus,Fresh,2.9531,per pound,0.4938,0.3968,pounds,2.3731
Asparagus,Canned,3.4328,per pound,0.65,0.3968,pounds,2.0958
Asparagus,Frozen,6.8212,per pound,1.0335,0.3968,pounds,2.6191
Avocados,Fresh,2.6737,per pound,0.7408,0.3197,pounds,1.1538
Beets,Canned,1.1431,per pound,0.65,0.3748,pounds,0.6591
Black beans,Canned,1.2387,per pound,0.65,0.3858,pounds,0.7352
Black beans,Dried,1.5250,per pound,2.4692,0.3858,pounds,0.2383
Blackeye peas,Canned,1.3164,per pound,0.65,0.3748,pounds,0.7590
Blackeye peas,Dried,1.9265,per pound,2.5397,0.3858,pounds,0.2926
Broccoli florets,Fresh,2.9162,per pound,1,0.3417,pounds,0.9965
Broccoli heads,Fresh,3.0820,per pound,0.78,0.3417,pounds,1.3502
Broccoli,Frozen,2.3458,per pound,0.8818,0.3417,pounds,0.9090
Brussels sprouts,Fresh,2.9139,per pound,1.06,0.3417,pounds,0.9394
Brussels sprouts,Frozen,2.5949,per pound,0.96,0.3417,pounds,0.9237
Butternut squash,Fresh,1.2691,per pound,0.714,0.4519,pounds,0.8033
"Cabbage, green",Fresh,0.7970,per pound,0.7788,0.3307,pounds,0.3384
"Cabbage, red",Fresh,1.2604,per pound,0.7791,0.3307,pounds,0.5350
"Cabbage, sauerkraut",Canned,1.4780,per pound,0.65,0.3086,pounds,0.7018
"Carrots, cooked whole",Fresh,0.9761,per pound,0.8158,0.3197,pounds,0.3825
"Carrots, raw whole",Fresh,0.9761,per pound,0.89,0.2756,pounds,0.3022
"Carrots, baby",Fresh,1.3507,per pound,1,0.2756,pounds,0.3722
Carrots,Canned,1.1979,per pound,0.65,0.3197,pounds,0.5892
Carrots,Frozen,1.7277,per pound,0.98,0.3197,pounds,0.5636
Cauliflower florets,Fresh,3.8022,per pound,0.9702,0.2756,pounds,1.0800
Cauliflower heads,Fresh,2.1841,per pound,0.8926,0.2756,pounds,0.6743
Cauliflower,Frozen,2.3974,per pound,0.9304,0.2756,pounds,0.7101
"Celery, trimmed bunches",Fresh,1.1637,per pound,0.73,0.2646,pounds,0.4217
Celery sticks,Fresh,2.4941,per pound,1,0.2646,pounds,0.6598
Collard greens,Fresh,3.0881,per pound,1.16,0.2866,pounds,0.7630
Collard greens,Canned,1.3315,per pound,0.65,0.3638,pounds,0.7452
Collard greens,Frozen,2.3512,per pound,0.8818,0.3638,pounds,0.9699
Corn,Fresh,2.2281,per pound,0.54,0.3638,pounds,1.5009
Corn,Canned,1.1543,per pound,0.65,0.3638,pounds,0.6460
Corn,Frozen,1.6889,per pound,0.963,0.3638,pounds,0.6380
Cucumbers with peel,Fresh,1.2473,per pound,0.97,0.2646,pounds,0.3402
Cucumbers without peel,Fresh,1.2473,per pound,0.73,0.2646,pounds,0.4520
Great northern beans,Canned,1.1583,per pound,0.65,0.3858,pounds,0.6875
Great northern beans,Dried,1.7202,per pound,2.4692,0.3858,pounds,0.2688
Green beans,Fresh,2.6199,per pound,0.8466,0.2756,pounds,0.8528
Green beans,Canned,1.1291,per pound,0.65,0.2976,pounds,0.5170
Green beans,Frozen,1.9983,per pound,0.903,0.2976,pounds,0.6586
Green peas,Canned,1.3118,per pound,0.65,0.3527,pounds,0.7119
Green peas,Frozen,1.9960,per pound,0.8924,0.3527,pounds,0.7889
Green peppers,Fresh,1.4789,per pound,0.82,0.2646,pounds,0.4771
