Cat_id,Season,Active,Lying,Sitting,Standing,Grooming,Littering,Eating,Scratching,Total,propActive,propLying,propSitting,propStanding,propGrooming,propLittering,propEating,propScratching,Cat_Age,Cat_Sex,BW,BCS,BCS_ord,Housing,Area,Diet,Coat,Owner,Owner_Age,Children,Cat1,Cat2,Dog
Cat1,Summer,27003,108903,281009,91712,66480,212,27813,1669,604801,0.044647744,0.180064186,0.464630515,0.151639961,0.109920453,0.000350529,0.045987027,0.002759585,Junior,Neutered male,5,7,Heavy,Indoor Outdoor,Rural,Mix,Short,Owner2,25 - 34 years,No,One,Single,Yes
Cat10,Summer,32589,219073,214569,48389,51391,403,36748,1639,604801,0.053883839,0.362223277,0.354776199,0.080008135,0.084971751,0.000666335,0.060760482,0.002709982,Mature,Neutered female,5.7,7,Heavy,Indoor Outdoor,Rural,Dry,Short,Owner8,55 - 65 years,No,One,Single,Yes
Cat11,Summer,33581,130668,346207,51024,34098,462,8331,430,604801,0.055524048,0.21605123,0.572431263,0.08436494,0.056378875,0.000763888,0.013774779,0.000710978,Junior,Neutered female,5.7,7,Heavy,Indoor Outdoor,Urban,Mix,Short,Owner15,45 - 54 years,No,Two,Multi,No
Cat12,Summer,25203,194934,286012,51434,29373,206,16823,816,604801,0.041671558,0.322310975,0.472902657,0.085042849,0.048566388,0.000340608,0.027815761,0.001349204,Prime,Neutered male,4.6,5,Ideal,Indoor Outdoor,Urban,Mix,Short,Owner12,25 - 34 years,No,Two,Multi,No
Cat13,Summer,14478,274497,144420,105333,17512,29,48344,188,604801,0.023938452,0.453863337,0.238789288,0.174161418,0.028954979,4.79E-05,0.07993373,0.000310846,Prime,Neutered female,4,5,Ideal,Indoor Outdoor,Rural,Dry,Long,Owner16,25 - 34 years,No,One,Single,Yes
Cat14,Summer,30231,277527,177460,52076,24350,443,42298,416,604801,0.049985036,0.458873249,0.293418827,0.086104355,0.040261177,0.000732472,0.069937054,0.00068783,Prime,Neutered female,,,,Indoor Outdoor,Urban,Dry,Short,Owner19,35  - 44 years,Yes,Three,Multi,Yes
Cat15,Summer,13328,265291,195095,55660,29335,133,45338,621,604801,0.022037001,0.438641801,0.322577178,0.092030271,0.048503557,0.000219907,0.0749635,0.001026784,Prime,Neutered female,4.2,6,Overweight,Indoor Outdoor,Urban,Mix,Short,Owner1,25 - 34 years,No,Two,Multi,Yes
Cat16,Summer,11631,202791,272270,48380,55377,1,13475,876,604801,0.019231119,0.335302025,0.450181134,0.079993254,0.091562349,1.65E-06,0.022280056,0.00144841,Prime,Neutered male,5.3,5,Ideal,Indoor,Urban,Mix,Long,Owner9,55 - 65 years,No,Two,Multi,No
Cat17,Summer,8561,152031,350058,56410,33055,150,3611,325,604201,0.014169126,0.251623218,0.57937342,0.09336297,0.054708615,0.000248262,0.005976488,0.0005379,Mature,Neutered male,3.2,5,Ideal,Indoor,Urban,Dry,Short,Owner17,25 - 34 years,No,Three,Multi,No
Cat18,Summer,21107,236511,221482,65528,23459,32,36485,197,604801,0.034899083,0.391055901,0.366206405,0.108346382,0.038787965,5.29E-05,0.060325628,0.000325727,Prime,Neutered male,5.3,6,Overweight,Indoor Outdoor,Rural,Mix,Short,Owner13,45 - 54 years,Yes,One,Single,No
Cat19,Summer,17856,290437,146802,77117,30643,237,40633,1075,604800,0.02952381,0.480219907,0.242728175,0.127508267,0.050666336,0.000391865,0.067184193,0.001777447,Prime,Neutered female,3.2,7,Heavy,Indoor Outdoor,Urban,Mix,Short,Owner18,45 - 54 years,Yes,One,Single,Yes
Cat2,Summer,11749,118970,380799,54684,35204,22,2145,1228,604801,0.019426224,0.196709331,0.629626935,0.090416517,0.058207576,3.64E-05,0.003546621,0.00203042,Prime,Neutered female,4.1,6,Overweight,Indoor Outdoor,Urban,Mix,Short,Owner12,25 - 34 years,No,Two,Multi,No
Cat20,Summer,23868,231343,225243,60040,38768,54,24682,803,604801,0.03946422,0.382510942,0.372424979,0.099272323,0.064100423,8.93E-05,0.040810118,0.001327709,Mature,Neutered female,5.6,7,Heavy,Indoor Outdoor,Rural,Dry,Short,Owner21,55 - 65 years,Yes,Two,Multi,Yes
